"Comment","Designator","Footprint","LCSC Part #"
"100n","C3","C_0603_1608Metric",""
"C","C1","C_0603_1608Metric",""
"C","C2","C_0805_2012Metric",""
"LED","D1","LED_0603_1608Metric",""
"0826-1X1T-GH-F","J3","BEL_0826-1X1T-GH-F",""
"7790","J5,J6,J7,J8","7790",""
"Conn_02x05_Odd_Even","J1","PinHeader_2x05_P2.54mm_Vertical",""
"Screw_Terminal_01x03","J4","TerminalBlock_MetzConnect_Type059_RT06303HBWC_1x03_P3.50mm_Horizontal",""
"Screw_Terminal_01x04","J2,J9","TerminalBlock_MetzConnect_Type059_RT06304HBWC_1x04_P3.50mm_Horizontal",""
"470","R1,R2,R3,R4","R_0603_1608Metric",""
"G3VM-61G1","RLA1","G3VM-61G1","C38724"
"RPI4CM","U1","rpiCM4",""
"DF40HC_3.0_-100DS-0.4V_51_PNP_OVERLAY","X1,X2","HRS_DF40HC(3.0)-100DS-0.4V(58)_PNP_OVERLAY","C424649"
